task,algorithm,seed,feature_cache_hits,feature_cache_misses,hv_cache_rebuilds,hv_cache_hits,neighbor_builds,neighbor_cache_hits,neighbor_filter_checks,mean_pool_size,max_pool_size
job_new3,local24,74504,17840,1404,36,725,33,728,31399,13.934296977660972,25.0
rgv_new1,refit32,74505,19460,2290,12,761,0,0,0,6.403622250970246,8.0
rgv_new3,refit32,74508,18757,2104,17,732,0,0,0,5.421895861148197,8.0
job_new4,fast_h0,74512,10952,1498,39,744,0,0,0,4.865900383141763,8.0
tour_new2,fast_h0,74502,10965,1441,40,731,0,0,0,4.884565499351492,8.0
tour_new1,h0,74512,0,0,0,0,0,0,0,,
job_new4,refit32,74509,18816,1178,29,727,0,0,0,4.224867724867725,8.0
rgv_new3,fast_h0,74502,10645,2214,18,761,0,0,0,5.41591784338896,8.0
tour_new3,local24,74509,13880,1140,24,750,26,748,27979,8.242894056847545,25.0
job_new2,local24,74506,17334,1980,66,711,62,715,29839,13.737451737451737,25.0
rgv_new1,local24,74507,17163,2529,15,754,65,704,35699,14.371911573472042,25.0
rgv_new4,refit32,74504,19064,2272,21,754,0,0,0,5.852903225806451,8.0
job_new3,refit32,74512,19427,1695,37,724,0,0,0,5.679369250985546,8.0
rgv_new1,h0,74505,0,0,0,0,0,0,0,,
rgv_new3,fast_h0,74503,10799,2032,11,760,0,0,0,5.43579766536965,8.0
job_new2,fast_h0,74511,11163,1619,56,672,0,0,0,5.68956043956044,8.0
job_new2,h0,74510,0,0,0,0,0,0,0,,
rgv_new2,h0,74511,0,0,0,0,0,0,0,,
job_new3,local24,74505,17659,1334,29,752,31,750,31745,13.25608194622279,25.0
rgv_new3,local24,74512,14576,2392,6,745,50,701,35863,11.089214380825567,25.0
tour_new3,h0,74501,0,0,0,0,0,0,0,,
job_new1,fast_h0,74509,10474,1127,17,749,0,0,0,3.8655352480417755,8.0
tour_new4,fast_h0,74505,10882,1390,40,716,0,0,0,4.804232804232805,8.0
tour_new3,local24,74506,14461,1219,31,754,31,754,28695,8.968152866242038,25.0
job_new4,refit32,74504,18835,1315,38,727,0,0,0,4.379084967320262,8.0
job_new1,h0,74511,0,0,0,0,0,0,0,,
job_new1,local24,74501,13844,1089,21,738,26,733,24942,8.291172595520422,25.0
job_new2,h0,74505,0,0,0,0,0,0,0,,
tour_new4,fast_h0,74501,10622,1353,39,709,0,0,0,4.458556149732621,8.0
tour_new2,refit32,74504,19036,1348,36,713,0,0,0,4.785046728971962,8.0
rgv_new3,local24,74510,16288,2148,6,761,51,716,36802,12.771838331160366,25.0
job_new1,refit32,74511,18740,1178,17,751,0,0,0,4.059895833333333,8.0
rgv_new4,fast_h0,74506,10742,1669,11,759,0,0,0,4.897402597402597,8.0
rgv_new3,fast_h0,74505,10317,1877,10,737,0,0,0,4.757697456492637,8.0
tour_new3,h0,74507,0,0,0,0,0,0,0,,
tour_new1,local24,74504,17857,1375,37,731,39,729,30880,13.791666666666666,25.0
tour_new3,fast_h0,74505,10401,1344,34,723,0,0,0,4.101717305151915,8.0
job_new3,local24,74510,15698,1351,29,724,31,722,28231,11.167330677290837,25.0
tour_new1,local24,74507,17452,1536,43,726,42,727,30854,13.456436931079324,25.0
rgv_new4,h0,74504,0,0,0,0,0,0,0,,
tour_new2,refit32,74509,19251,1453,30,732,0,0,0,5.123359580052494,8.0
rgv_new2,local24,74507,14846,2787,14,735,78,671,33377,12.006675567423231,25.0
rgv_new2,refit32,74510,18702,1824,10,766,0,0,0,4.801546391752577,8.0
rgv_new4,fast_h0,74509,10814,1944,28,732,0,0,0,5.418421052631579,8.0
tour_new4,local24,74511,16044,1284,38,734,38,734,27051,11.253886010362693,25.0
job_new4,h0,74509,0,0,0,0,0,0,0,,
tour_new4,refit32,74512,18970,1397,35,756,0,0,0,4.509481668773704,8.0
job_new3,refit32,74501,19355,1360,41,743,0,0,0,4.9936224489795915,8.0
rgv_new2,fast_h0,74510,10203,2073,20,737,0,0,0,4.803170409511228,8.0
rgv_new2,refit32,74505,18519,2044,10,755,0,0,0,4.918954248366013,8.0
rgv_new1,h0,74507,0,0,0,0,0,0,0,,
rgv_new1,local24,74501,17664,2351,11,750,51,710,39482,14.947437582128778,25.0
tour_new3,local24,74501,13958,1374,37,731,34,734,27000,8.713541666666666,25.0
job_new2,refit32,74502,19651,1523,35,739,0,0,0,5.651162790697675,8.0
tour_new4,local24,74509,16630,1444,44,718,44,718,27982,12.380577427821523,25.0
rgv_new3,refit32,74502,19069,2239,22,751,0,0,0,5.831824062095731,8.0
tour_new2,local24,74508,16005,1351,28,748,30,746,32857,11.231958762886597,25.0
job_new4,h0,74506,0,0,0,0,0,0,0,,
rgv_new1,refit32,74507,19105,2416,12,748,0,0,0,6.211842105263158,8.0
rgv_new3,fast_h0,74509,10929,1878,19,765,0,0,0,5.315051020408164,8.0
rgv_new2,h0,74509,0,0,0,0,0,0,0,,
job_new1,local24,74510,14878,1212,35,746,37,744,25848,9.539052496798975,25.0
rgv_new3,fast_h0,74512,10194,2159,6,739,0,0,0,4.983892617449665,8.0
job_new1,refit32,74512,18756,1248,25,728,0,0,0,4.254980079681275,8.0
job_new4,refit32,74512,18963,1539,39,734,0,0,0,4.7891332470892625,8.0
tour_new1,h0,74505,0,0,0,0,0,0,0,,
